"","log_GNI","SIGI_s","MENA"
"1",8.3380665255188,0.717105146544014,0
"2",8.14612951002541,0.104006897781001,0
"3",9.39015879855202,-1.20156031094552,0
"4",8.23483028044206,0.62315614144955,0
"5",8.46800294722547,0.657982065751808,0
"6",7.1929342212158,1.8704101746002,0
"7",8.62873456614915,-1.01609201640559,0
"8",10.6411299729826,-1.2752616856317,0
"9",6.7093043402583,0.963316332308818,0
"10",7.82803803212583,-0.363308412042326,0
"11",8.02943284058124,-0.819285048837011,0
"12",8.50512061018197,-1.01852173205458,0
"13",9.08704215563169,-0.917283580013133,0
"14",8.93326847863642,-0.924572726960118,0
"15",6.42971947803914,0.994902635745749,0
"16",5.63478960316925,0.0578423004501003,0
"17",7.03878354138854,-0.901895380902833,0
"18",7.24422751560335,0.981944152284444,0
"19",6.5792512120101,2.48998766509386,0
"20",9.01796847932873,-0.227244335698619,0
"21",8.74989095553526,-0.590081872615171,0
"22",9.29099827499364,-0.878408129629217,0
"23",9.77223926592617,-1.05901699287116,0
"24",8.76248954737158,-0.990984954699308,0
"25",8.66561319653451,-0.946440167801071,0
"26",8.27384693278451,-0.891366613090523,0
"27",6.49223983502047,0.696047610919393,0
"28",10.5641115413905,-1.26068339173773,0
"29",6.06378520868761,2.95568316448453,0
"30",8.25062008217469,0.359936946141783,0
"31",7.22983877815125,1.13177661730579,0
"32",8.24012129807647,-0.220765093967966,0
"33",6.50727771238501,1.30833595446607,0
"34",7.67322312112171,-0.418381966752874,0
"35",7.4205789054108,0.858028654185711,0
"36",8.13153071060425,-0.0474453776730062,0
"37",10.3650178845772,-1.19427116399854,0
"38",8.44031214708028,-0.194848127045355,0
"39",8.27384693278451,1.23787420064523,1
"40",9.08364271893022,-0.31957353036042,0
"41",7.22983877815125,0.458745382534237,0
"42",7.00306545878646,0.00600836660487862,0
"43",7.67322312112171,-0.117907131493855,0
"44",9.58671989918925,-0.874358603547559,0
"45",8.98469369044386,1.05807524261961,1
"46",7.14677217945264,-0.578743199586529,0
"47",5.91350300563827,1.81209699902432,0
"48",9.59899836176797,-0.944820357368408,0
"49",8.5131851700187,-0.198897653127013,0
"50",5.99146454710798,-0.476695142328749,0
"51",5.76832099579377,0.390713344362384,0
"52",6.64639051484773,2.89413036804333,0
"53",7.02997291170639,1.9141450562821,0
"54",7.65917136766606,-0.872738793114896,0
"55",8.18590748148232,-1.0088028694586,0
"56",7.9550742732627,-0.436199881512169,1
"57",6.17378610390194,-0.174600496637066,0
"58",8.4424696452203,-0.338201350336047,0
"59",6.59304453414244,1.3269637744417,0
"60",7.64969262371151,0.0035786509558839,0
"61",7.80384330353877,1.87931913197985,0
"62",7.3132203870903,1.15202424771408,0
"63",9.40426106461349,-0.984505712968655,0
"64",8.30893825259578,-0.81847514362068,0
"65",8.69114649853968,-0.619238460403108,0
"66",8.18311807939475,0.141262537732254,0
"67",9.15693959524907,-0.732625190689531,0
"68",6.5510803350434,-0.203757084425003,0
"69",6.85646198459459,0.319441685325204,0
"70",8.57734711423598,-1.20965936310884,0
"71",9.9813740911932,-1.25825367608873,0
"72",8.61068353450358,-0.803086944510379,0
"73",10.2255710517052,-1.24853481349275,0
"74",8.23747928861363,0.245740310639029,0
"75",7.99294454731811,0.427968984313637,0
"76",7.01211529430638,-0.160022202743097,0
"77",6.80239476332431,0.739782492601299,0
"78",8.6376393444921,-0.432960260646843,0
"79",7.63046126178363,0.777038132552552,0
"80",9.69523261371567,-1.09708253803875,0
"81",8.21338173703457,0.320251590541535,1
"82",9.32634404773249,-0.452397985838801,0
"83",6.44571981938558,0.463604813832227,0
"84",7.74500280351584,-0.680791256844309,0
"85",7.64969262371151,0.222253059365413,0
"86",6.79122146272619,-0.160832107959429,0
